fecha_registro,fondo,categoria,fecha_dato,vcp,patrimonio,ranking_categoria,cantidad_categoria,interpretacion,promedio_vcp_categoria
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase A,BALANCEADO,2026-05-15,1592.344,2599714084,62,299,Fondo relevante y bien posicionado.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase A,BALANCEADO,2026-05-15,1592.344,2599714084,62,299,Fondo relevante y bien posicionado.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase B,BALANCEADO,,,0,190,299,Fondo marginal o con baja participación relativa.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase B,BALANCEADO,,,0,190,299,Fondo marginal o con baja participación relativa.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase C,BALANCEADO,,,0,191,299,Fondo marginal o con baja participación relativa.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase C,BALANCEADO,,,0,191,299,Fondo marginal o con baja participación relativa.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase D,BALANCEADO,,,0,192,299,Fondo marginal o con baja participación relativa.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase D,BALANCEADO,,,0,192,299,Fondo marginal o con baja participación relativa.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase E Ley N° 27.743,BALANCEADO,,,0,193,299,Fondo marginal o con baja participación relativa.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase E Ley N° 27.743,BALANCEADO,,,0,193,299,Fondo marginal o con baja participación relativa.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase F Ley N° 27.743,BALANCEADO,,,0,194,299,Fondo marginal o con baja participación relativa.,176168.2143
2026-05-17 18:06:49,Champaquí Ahorro Mixto - Clase F Ley N° 27.743,BALANCEADO,,,0,194,299,Fondo marginal o con baja participación relativa.,176168.2143
2026-05-17 18:06:49,Champaquí Cobertura - Clase A,SIN CLASIFICAR,2026-05-15,22017.39,10023196404,52,288,Fondo relevante y bien posicionado.,201324.0724
