fecha,oficial,mep,ccl,blue,brecha,fuente,riesgo,score_riesgo,champaqui_cobertura,champaqui_ahorro_pesos,dolar_mep_cobertura,recomendacion
2026-05-16 16:11:26,1420,1429.6,1485.1,1415,0.68,DolarAPI,MEDIO,3,45%,40%,15%,"Mantener, aumentar liquidez y no sumar fuerte CER."
2026-05-16 16:16:01,1420,1429.6,1485.1,1415,0.68,DolarAPI,MEDIO,3,45%,40%,15%,"Mantener, aumentar liquidez y no sumar fuerte CER."
2026-05-16 16:20:59,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,1,60%,30%,10%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-16 16:53:34,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,1,60%,30%,10%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-16 17:06:08,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,1,60%,30%,10%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-16 17:13:54,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,1,60%,30%,10%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-16 17:21:31,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,1,60%,30%,10%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-16 17:46:01,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,1,60%,30%,10%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-16 17:51:03,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,1,60%,30%,10%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-16 17:57:31,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,1.95,60%,30%,10%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-16 18:05:21,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,2.7,60%,30%,10%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-16 18:12:12,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,2.7,48%,37%,15%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-17 11:35:39,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,2.7,48%,37%,15%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-17 11:56:02,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,2.7,48%,37%,15%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-17 12:00:39,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,2.7,48%,37%,15%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-17 12:05:45,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,2.7,48%,37%,15%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-17 12:25:50,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,2.7,48%,37%,15%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-17 17:24:55,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,2.7,48%,37%,15%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-17 17:27:19,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,2.7,48%,37%,15%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-17 17:30:04,1420,1429.6,1485.1,1415,0.68,DolarAPI,BAJO,2.7,48%,37%,15%,Contexto favorable para CER con cobertura cambiaria baja.
2026-05-17 17:32:26,1420,1429.6,1485.1,1415,0.68,DolarAPI,MEDIO,3.2,43%,41%,16%,Mantener prudencia y aumentar liquidez progresivamente.
2026-05-17 17:37:10,1420,1429.6,1485.1,1415,0.68,DolarAPI,MEDIO,3.2,43%,41%,16%,Mantener prudencia y aumentar liquidez progresivamente.
2026-05-17 17:51:20,1420,1429.6,1485.1,1415,0.68,DolarAPI,MEDIO,3.2,43%,41%,16%,Mantener prudencia y aumentar liquidez progresivamente.
